#	thds	sz	sfrac		time(s)	
	16	32786	0.750000	0.347096
	16	32786	0.750000	0.271088
	16	32786	0.750000	0.302315
	16	32786	0.750000	0.376425
	16	32786	0.750000	0.387813
	16	32786	0.750000	0.331338
	16	32786	1.000000	0.200786
	16	32786	1.000000	0.180318
	16	32786	1.000000	0.114580
	16	32786	1.000000	0.105168
	16	32786	1.000000	0.181835
	16	32786	1.000000	0.205125
	16	32786	1.000000	0.113269
	16	32786	1.000000	0.166223
	16	32786	1.000000	0.153019
	16	32786	1.000000	0.198508
	16	32786	1.000000	0.259901
	16	32786	1.000000	0.225875
	16	32786	1.000000	0.262617
	16	32786	1.000000	0.219500
	16	32786	1.000000	0.216501
	16	32786	1.000000	0.187220
	16	32786	1.000000	0.224501
	16	32786	1.000000	0.144504
	16	32786	1.000000	0.200650
	16	32786	0.750000	0.343654
	16	32786	0.750000	0.340212
	16	32786	0.750000	0.437319
	16	32786	0.750000	0.353057
	16	32786	1.000000	0.175242
	16	32786	1.000000	0.241380
	16	32786	1.000000	0.194900
	16	32786	1.000000	0.237181
	16	32786	1.000000	0.230267
	16	32786	1.000000	0.121343
	16	32786	1.000000	0.224539
	16	32786	1.000000	0.175056
	16	32786	1.000000	0.211444
	16	32786	1.000000	0.155857
	16	32786	1.000000	0.189216
	16	32786	1.000000	0.253897
	16	32786	1.000000	0.180573
	16	32786	1.000000	0.227434
	16	32786	1.000000	0.212519
	16	32786	1.000000	0.185376
	16	32786	1.000000	0.179295
	16	32786	1.000000	0.227611
	16	32786	1.000000	0.246908
	16	32786	1.000000	0.192455
	16	32786	0.950000	0.216055
	16	32786	0.950000	0.224691
	16	32786	0.950000	0.229328
	16	32786	0.950000	0.285551
	16	32786	0.950000	0.215323
	16	32786	0.950000	0.215468
	16	32786	0.950000	0.280332
	16	32786	0.950000	0.218628
	16	32786	0.990000	0.250158
	16	32786	0.990000	0.239079
	16	32786	0.990000	0.213103
	16	32786	0.990000	0.218974
	16	32786	0.990000	0.255105
	16	32786	0.990000	0.245886
	16	32786	0.990000	0.178087
	16	32786	0.990000	0.167162
